"","x"
"1",0.68818291196955
"2",0.140501947672105
"3",0.394481293683791
"4",0.461500476466259
"5",0.842242593525209
"6",0.81385533591165
"7",0.894180379499682
"8",0.174429957627861
"9",0.745921464578447
"10",0.550289994912048
"11",0.6225814414265
"12",0.473324885530145
"13",0.298790952206129
"14",0.526675114469855
"15",0.750663740327638
"16",0.178281740036299
"17",0.303971759746636
"18",0.544399647319283
"19",0.325082997637185
"20",0.239994671739661
"21",0.946669327010144
"22",0.585355438440381
"23",0.628218072609011
"24",0.591141869443665
"25",0.24698288804554
"26",0.778102121661866
"27",0.857832528742358
"28",0.380246782294438
"29",0.485172847122407
"30",0.473324885530145
"31",0.78684999267353
"32",0.449710005087952
"33",0.366172648508727
"34",0.400215980389926
"35",0.789005112301787
"36",0.579550425859614
"37",0.803729571112404
"38",0.719017621420122
"39",0.497033913717841
"40",0.861150279550046
"41",0.940778023129679
"42",0.805781003207102
"43",0.562036233170004
"44",0.701209047793871
"45",0.473324885530145
"46",0.553231101138567
"47",0.36337861106258
"48",0.360591823306975
"49",0.547346123545444
"50",0.789005112301787
"51",0.544399647319283
"52",0.435035314457141
"53",0.51186270573971
"54",0.605518706316209
"55",0.831247780988904
"56",0.892814495866883
"57",0.198334943446349
"58",0.380246782294438
"59",0.719017621420122
"60",0.127654955226572
"61",0.724009925079988
"62",0.591141869443665
"63",0.261279682071062
"64",0.936266071910797
"65",0.52963383173296
"66",0.840443554681207
"67",0.582455178381684
"68",0.168752219011096
"69",0.674917002362815
"70",0.452653876454556
"71",0.596908503149716
"72",0.564964685542859
"73",0.76688431700277
"74",0.553231101138567
"75",0.333151746966033
"76",0.567889578733465
"77",0.314451530889307
"78",0.81385533591165
"79",0.124575011350798
"80",0.701209047793871
"81",0.2637031552949
"82",0.165033807081877
"83",0.473324885530145
"84",0.397345863263037
"85",0.856153694595825
"86",0.690807760951113
"87",0.35227630063862
"88",0.380246782294438
"89",0.142167471257642
"90",0.400215980389926
"91",0.344030807826641
"92",0.69862365576205
"93",0.573728059554483
"94",0.63102620034158
"95",0.738720317928938
"96",0.258867702503787
"97",0.366172648508727
"98",0.857832528742358
"99",0.769152749517529
"100",0.288551668915488
"101",0.176349195128186
"102",0.68818291196955
"103",0.797496907358761
"104",0.374596893472008
"105",0.45854927305598
"106",0.2153179117447
"107",0.840443554681207
"108",0.54145072694402
"109",0.45854927305598
"110",0.570810755585892
"111",0.64772369936138
"112",0.435035314457141
"113",0.567889578733465
"114",0.805781003207102
"115",0.360591823306975
"116",0.9033904942883
"117",0.696028240253364
"118",0.520753425908459
"119",0.825570042372139
"120",0.54145072694402
"121",0.198334943446349
"122",0.596908503149716
"123",0.464453801420237
"124",0.701209047793871
"125",0.168752219011096
"126",0.502966086282159
"127",0.721519223555407
"128",0.497033913717841
"129",0.380246782294438
"130",0.535546198579763
"131",0.494067991390887
"132",0.544399647319283
"133",0.819772422943517
"134",0.68818291196955
"135",0.564964685542859
"136",0.426271940445517
"137",0.172524041259606
"138",0.152440535270049
"139",0.130787439076457
"140",0.669546662287822
"141",0.738720317928938
"142",0.517790780783057
"143",0.208852595889328
"144",0.544399647319283
"145",0.306577093570876
"146",0.743532705223436
"147",0.755358545681804
"148",0.67758869540254
"149",0.653228692370205
"150",0.6225814414265
"151",0.254078535421553
"152",0.35227630063862
"153",0.497033913717841
"154",0.538499523533741
"155",0.360591823306975
"156",0.769152749517529
"157",0.68818291196955
"158",0.573728059554483
"159",0.809844502534092
"160",0.588251052915098
"161",0.706349348353535
"162",0.658701523728078
"163",0.628218072609011
"164",0.682904543464056
"165",0.251701499314885
"166",0.614077661249715
"167",0.711448331084512
"168",0.432110421266535
"169",0.180227577056483
"170",0.915506286360848
"171",0.762310545709256
"172",0.591141869443665
"173",0.743532705223436
"174",0.224116458130694
"175",0.823650804871814
"176",0.45854927305598
"177",0.325082997637185
"178",0.570810755585892
"179",0.594027736446362
"180",0.35504053502966
"181",0.596908503149716
"182",0.674917002362815
"183",0.910804374636155
"184",0.476285075130981
"185",0.360591823306975
"186",0.585355438440381
"187",0.380246782294438
"188",0.585355438440381
"189",0.31181708803045
"190",0.538499523533741
"191",0.680251247569265
"192",0.817813310686722
"193",0.2637031552949
"194",0.570810755585892
"195",0.251701499314885
"196",0.152440535270049
"197",0.36337861106258
"198",0.650480151838219
"199",0.544399647319283
"200",0.154199453653244
"201",0.251701499314885
"202",0.719017621420122
"203",0.77365241757006
"204",0.653228692370205
"205",0.357812420075626
"206",0.319748752430735
"207",0.271041730410323
"208",0.335858821560344
"209",0.538499523533741
"210",0.666848253033967
"211",0.588251052915098
"212",0.760005328260339
"213",0.349519848161781
"214",0.562036233170004
"215",0.535546198579763
"216",0.224116458130694
"217",0.755358545681804
"218",0.895533637260349
"219",0.423358665270999
"220",0.67758869540254
"221",0.403091496850284
"222",0.429189244414108
"223",0.538499523533741
"224",0.400215980389926
"225",0.544399647319283
"226",0.36897379965842
"227",0.47036616826704
"228",0.628218072609011
"229",0.357812420075626
"230",0.200412509051963
"231",0.857832528742358
"232",0.455600352680717
"233",0.479246574091541
"234",0.900821276276011
"235",0.198334943446349
"236",0.550289994912048
"237",0.497033913717841
"238",0.664141178439656
"239",0.5
"240",0.602654136736963
"241",0.611230614493638
"242",0.408858130556335
"243",0.198334943446349
"244",0.762310545709256
"245",0.811856515113644
"246",0.682904543464056
"247",0.872345044773428
"248",0.283494790147353
"249",0.726489636415128
"250",0.803729571112404
"251",0.881428122721112
"252",0.380246782294438
"253",0.24698288804554
"254",0.256467294776564
"255",0.844028256923113
"256",0.701209047793871
