date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,score1_digit,score2_digit,result1
10/11/15,2015,0,0,BAL,CLE,1542.074709,1384.826854,0.782341069,30,33,0,3,0
10/11/15,2015,0,0,GB,LAR,1669.67157,1465.676587,0.824691138,24,10,4,0,1
10/11/15,2015,0,0,TEN,BUF,1356.475465,1532.116421,0.345947512,13,14,3,4,0
10/11/15,2015,0,0,PHI,NO,1515.313718,1452.050387,0.676633429,39,17,9,7,1
10/11/15,2015,0,0,KC,CHI,1511.055069,1383.729584,0.751590771,17,18,7,8,0
10/11/15,2015,0,0,CIN,SEA,1609.494309,1648.351533,0.537551636,27,24,7,4,1
10/11/15,2015,0,0,DET,ARI,1473.978351,1584.579701,0.434748644,17,42,7,2,0
10/11/15,2015,0,0,OAK,DEN,1406.955727,1657.77119,0.255471593,10,16,0,6,0
10/11/15,2015,0,0,DAL,NE,1551.924665,1698.460842,0.384767743,6,30,6,0,0
10/11/15,2015,0,0,NYG,SF,1513.70557,1479.096582,0.639546283,30,27,0,7,1
10/12/15,2015,0,0,LAC,PIT,1505.125864,1573.374377,0.49532515,20,24,0,4,0
10/15/15,2015,0,0,NO,ATL,1432.889231,1562.907211,0.40750878,31,21,1,1,1
10/18/15,2015,0,0,BUF,CIN,1536.682631,1622.165527,0.470556846,21,34,1,4,0
10/18/15,2015,0,0,MIN,KC,1504.918817,1499.637694,0.599785314,16,10,6,0,1
10/18/15,2015,0,0,TEN,MIA,1351.909255,1424.812023,0.488628963,10,38,0,8,0
10/18/15,2015,0,0,NYJ,WSH,1502.279738,1384.204568,0.741516469,34,20,4,0,1
10/18/15,2015,0,0,DET,CHI,1446.224567,1395.146959,0.661099191,37,34,7,4,1
10/18/15,2015,0,0,PIT,ARI,1589.294771,1612.333485,0.560095237,25,13,5,3,1
10/18/15,2015,0,0,JAX,HOU,1331.152065,1439.776042,0.437547898,20,31,0,1,0
10/18/15,2015,0,0,CLE,DEN,1408.955469,1666.93933,0.247702318,23,26,3,6,0
