team,elo
KC,1649.93
DET,1560.98
ATL,1465.51
WAS,1421.67
IND,1474.06
BAL,1613.75
CLE,1501.85
MIN,1484.52
NO,1505.22
PIT,1515.42
CHI,1479.38
NE,1424.33
LAC,1470.61
SEA,1495.10
DEN,1454.22
NYG,1454.07
CAR,1375.73
ARI,1438.32
JAX,1490.52
HOU,1505.30
CIN,1546.62
TB,1504.58
TEN,1448.03
SF,1642.81
GB,1548.80
PHI,1533.87
MIA,1528.62
LA,1512.50
LV,1480.55
DAL,1562.11
NYJ,1475.63
BUF,1594.88
