team,elo
BAL,1660.21
PHI,1657.35
DET,1639.96
BUF,1632.32
KC,1608.97
GB,1583.06
DEN,1580.62
MIN,1568.84
WAS,1566.39
CIN,1563.69
LAC,1556.73
LA,1549.33
TB,1548.74
HOU,1533.71
PIT,1527.16
SEA,1527.14
MIA,1499.48
ARI,1487.24
SF,1487.05
ATL,1478.89
DAL,1472.40
IND,1468.83
NYJ,1468.67
CHI,1453.06
JAX,1433.05
LV,1432.20
TEN,1416.33
CLE,1416.06
NO,1403.44
CAR,1400.41
NYG,1397.13
NE,1387.35
