team,elo
SEA,1631.93
LA,1610.85
BUF,1600.76
DEN,1591.45
HOU,1590.25
NE,1584.4
DET,1566.1
PHI,1560.15
JAX,1550.57
SF,1548.51
BAL,1546.15
GB,1529.62
LAC,1522.67
MIN,1521.66
KC,1519.91
CHI,1506.46
TB,1498.56
IND,1484.98
PIT,1484.33
CIN,1483.11
DAL,1469.23
WAS,1465.02
ATL,1463.47
NYG,1438.46
MIA,1436.45
NO,1430.99
CAR,1422.38
ARI,1416.55
CLE,1406.71
TEN,1374.87
NYJ,1371.85
LV,1371.58
