team,win_total
MIN,9.5
DEN,9.5
DET,10.5
WAS,9.5
KC,11.5
PHI,10.5
BUF,12.5
SEA,7.5
LAC,9.5
PIT,8.5
TB,9.5
LA,9.5
ARI,8.5
BAL,11.5
CAR,6.5
GB,9.5
HOU,9.5
NE,8.5
IND,7.5
CIN,9.5
ATL,7.5
MIA,7.5
NO,5.5
LV,6.5
TEN,5.5
DAL,8.5
NYG,5.5
CHI,8.5
NYJ,6.5
JAX,7.5
CLE,5.5
SF,10.5
