team,elo
SEA,1676.3
LA,1612.55
HOU,1610.31
BUF,1609.37
DEN,1607.91
NE,1598.79
JAX,1571.38
SF,1563.09
PHI,1559.6
DET,1558.74
MIN,1552.22
BAL,1546.6
CHI,1531.56
LAC,1530.5
GB,1529.34
PIT,1512.12
KC,1491.72
CIN,1483.02
TB,1482.8
ATL,1475.32
IND,1470.73
WAS,1464.86
MIA,1461.54
DAL,1461.46
NO,1440.8
CAR,1433.3
NYG,1426.91
CLE,1426.72
ARI,1395.35
NYJ,1364.33
TEN,1359.6
LV,1351.14
