team,elo
KC,1672.681
DET,1507.596
ATL,1462.144
WAS,1491.663
IND,1415.729
BAL,1524.731
CLE,1499.291
MIN,1520.845
NO,1508.606
PIT,1537.131
CHI,1382.15
NE,1510.54
LAC,1512.724
SEA,1501.585
DEN,1417.673
NYG,1481.238
CAR,1479.931
ARI,1423.047
JAX,1512.739
HOU,1376.378
CIN,1647.635
TB,1486.421
TEN,1464.196
SF,1625.3
GB,1524.074
PHI,1600.276
MIA,1497.009
LA,1449.909
LV,1478.045
DAL,1586.821
NYJ,1432.075
BUF,1629.76
