team,win_total
ARI,3.5
ATL,7.5
BAL,10.5
BUF,10.5
CAR,7.5
CHI,9.5
CIN,10.5
CLE,5.5
DAL,9.5
DEN,9.5
DET,10.5
GB,9.5
HOU,9.5
IND,8.5
JAX,9.5
KC,10.5
LA,11.5
LAC,9.5
LV,5.5
MIA,3.5
MIN,8.5
NE,9.5
NO,7.5
NYG,7.5
NYJ,5.5
PHI,10.5
PIT,8.5
SEA,10.5
SF,10.5
TB,8.5
TEN,6.5
WAS,7.5
